turnos_type,alpha,coherencia_curricular,coincidencia_promedio,capacidad_utilizada,estudiantes_afectados,coherencia_previas
con_turnos,1.0,3.1967066850884907,2.7867359917811534,0.22949038461538462,2292.9166666666665,3.2414916112965573
con_turnos,0.75,3.3859988082744277,3.0888821536765234,0.23057371794871795,1527.983333333334,3.885262871326587
con_turnos,0.0,3.0445704582362523,3.6265674013736793,0.22849999999999998,1527.0166666666669,4.832101832157561
con_turnos,0.25,3.65481271132483,3.815497307695371,0.22794871794871796,1139.2166666666662,5.260079099276006
con_turnos,0.5,3.2673623034956787,3.575611154574562,0.2317147435897436,1101.5166666666664,3.354732416269271
sin_turnos,0.0,3.4351964902885017,3.78567376057306,0.23051602564102563,1889.65,6.126012434277737
sin_turnos,0.5,3.7198577696187836,3.647235649060173,0.22978205128205126,1946.7999999999997,2.821009661622397
sin_turnos,0.75,3.655874445328943,3.591823797212452,0.23187179487179488,1334.0333333333335,3.829017982854346
sin_turnos,1.0,3.2161758158397844,2.9368315712722763,0.23271153846153847,2202.3000000000006,3.2191698053425215
